Main Ship Speed,Lead Times,Lead Times Category,Average Unit Price,# Units Sold,Gross Revenue,Total Costs,Gross Margin,Branded,Brand Awareness,Source
Small Parcel,23,3-4 Weeks,678,5070,3437460,2704335,0.213275209020614,Y,0.02,Potential
Small Parcel,1,24 Hours,133,1273,169309,148328,0.1239213509027872,N,0.0,Potential
Large Parcel,1,24 Hours,906,123,111438,85705,0.2309176403022308,N,0.0,Potential
Small Parcel,2,48 Hours,1072,50,53600,42727,0.2028544776119403,Y,0.01,Potential
Large Parcel,19,2-3 Weeks,2096,489,1024944,832578,0.1876844003184564,Y,0.11,Potential
Small Parcel,10,1-2 Weeks,2136,328,700608,606909,0.1337395519320361,Y,0.04,Current
Large Parcel,5,Less Than 1 Week,512,841,430592,336491,0.2185386630499405,N,0.0,Potential
Small Parcel,2,48 Hours,767,693,531531,469667,0.1163883197781502,N,0.0,Potential
Small Parcel,14,2-3 Weeks,305,104,31720,27930,0.119482976040353,Y,0.01,Potential
Large Parcel,8,1-2 Weeks,579,555,321345,263425,0.1802424185843875,Y,0.1,Potential
Small Parcel,2,48 Hours,757,3556,2691892,2198604,0.183249550873512,Y,0.03,Current
Large Parcel,12,1-2 Weeks,75,50,3750,3196,0.1477333333333333,N,0.0,Potential
Large Parcel,19,2-3 Weeks,324,515,166860,136155,0.1840165408126573,N,0.0,Potential
Small Parcel,7,1-2 Weeks,1726,1624,2803024,2340878,0.1648740788519827,N,0.0,Potential
Large Parcel,12,1-2 Weeks,842,174,146508,116356,0.2058044611898326,Y,0.16,Potential
Small Parcel,21,3-4 Weeks,312,446,139152,126641,0.0899088766241232,N,0.0,Potential
Small Parcel,3,72 Hours,950,353,335350,276289,0.1761174891903981,Y,0.13,Potential
Small Parcel,3,72 Hours,253,1238,313214,262954,0.1604653687255359,Y,0.09,Potential
Large Parcel,1,24 Hours,1168,214,249952,202251,0.1908406414031494,N,0.0,Potential
Large Parcel,23,3-4 Weeks,747,68,50796,45846,0.0974486180014174,N,0.0,Potential
Small Parcel,1,24 Hours,193,116,22388,19082,0.1476683937823834,Y,0.04,Potential
Large Parcel,2,48 Hours,631,465,293415,278299,0.0515174752483683,N,0.0,Potential
Small Parcel,5,Less Than 1 Week,2013,954,1920402,1533291,0.2015781070838293,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,1742,1261,2196662,1844432,0.1603478368542816,N,0.0,Potential
Small Parcel,23,3-4 Weeks,114,3138,357732,276216,0.22786890745027,Y,0.0,Current
Large Parcel,1,24 Hours,525,1424,747600,676341,0.0953170144462279,N,0.0,Potential
Large Parcel,1,24 Hours,1547,1609,2489123,2245713,0.0977894623929793,Y,0.08,Current
Large Parcel,3,72 Hours,2038,3896,7940048,6723329,0.1532382423884591,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,426,4304,1833504,1478916,0.1933936331745117,N,0.0,Potential
Small Parcel,6,Less Than 1 Week,1643,870,1429410,1246410,0.1280248494133943,Y,0.08,Current
Small Parcel,23,3-4 Weeks,4781,1145,5474245,4606213,0.1585665237854717,N,0.0,Potential
Large Parcel,24,3-4 Weeks,1283,50,64150,55758,0.1308183943881527,Y,0.02,Current
Large Parcel,14,2-3 Weeks,835,382,318970,263223,0.1747719221243377,Y,0.01,Potential
Small Parcel,6,Less Than 1 Week,176,943,165968,142115,0.1437204762363829,N,0.0,Potential
Large Parcel,1,24 Hours,423,50,21150,18909,0.1059574468085106,Y,0.06,Potential
Large Parcel,9,1-2 Weeks,133,3262,433846,354123,0.1837587531059408,Y,0.01,Potential
Large Parcel,3,72 Hours,582,482,280524,253138,0.097624445680227,Y,0.06,Potential
Small Parcel,12,1-2 Weeks,257,1511,388327,324639,0.164006108254126,N,0.0,Potential
Small Parcel,3,72 Hours,4269,549,2343681,1994097,0.1491602312772088,Y,0.07,Potential
Large Parcel,3,72 Hours,75,596,44700,41050,0.08165548098434,N,0.0,Current
Large Parcel,3,72 Hours,3323,359,1192957,923524,0.2258530693059347,N,0.0,Current
Large Parcel,8,1-2 Weeks,265,1456,385840,317980,0.1758760107816711,Y,0.02,Current
Large Parcel,3,72 Hours,333,796,265068,207296,0.2179516199616702,N,0.0,Potential
Large Parcel,7,1-2 Weeks,874,290,253460,200308,0.2097056734790499,N,0.0,Potential
Large Parcel,2,48 Hours,1783,465,829095,723563,0.1272857754539588,N,0.0,Potential
Small Parcel,2,48 Hours,922,1194,1100868,865312,0.2139729740532016,Y,0.05,Potential
Large Parcel,4,Less Than 1 Week,1214,171,207594,165090,0.204745801901789,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,1287,1163,1496781,1132141,0.2436161335559444,Y,0.35,Potential
Large Parcel,26,3-4 Weeks,786,143,112398,91034,0.1900745564867702,Y,0.09,Potential
Small Parcel,14,2-3 Weeks,75,104,7800,6359,0.1847435897435897,Y,0.04,Potential
Large Parcel,11,1-2 Weeks,900,128,115200,106552,0.0750694444444444,N,0.0,Potential
Small Parcel,5,Less Than 1 Week,2668,1649,4399532,3348564,0.2388817719702914,N,0.0,Potential
Large Parcel,1,24 Hours,771,2949,2273679,1876111,0.1748566970095602,N,0.0,Current
Large Parcel,12,1-2 Weeks,124,4866,603384,509367,0.155816196650889,Y,0.01,Current
Large Parcel,16,2-3 Weeks,4726,1018,4811068,4099035,0.1479989474270577,Y,0.1,Potential
Large Parcel,1,24 Hours,75,127,9525,7494,0.2132283464566929,N,0.0,Potential
Small Parcel,24,3-4 Weeks,316,303,95748,84420,0.1183105652337385,N,0.0,Potential
Small Parcel,3,72 Hours,867,50,43350,40174,0.0732641291810842,N,0.0,Potential
Small Parcel,1,24 Hours,1538,2719,4181822,3881254,0.0718748908968387,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,394,809,318746,261056,0.1809905065475331,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,149,3329,496021,438908,0.1151423024428401,Y,0.02,Potential
Large Parcel,12,1-2 Weeks,487,261,127107,101657,0.2002250072773332,Y,0.03,Potential
Large Parcel,2,48 Hours,243,1000,243000,189387,0.2206296296296296,Y,0.03,Potential
Large Parcel,3,72 Hours,509,478,243302,191727,0.211979350765715,Y,0.02,Current
Small Parcel,19,2-3 Weeks,700,1026,718200,583571,0.1874533556112503,N,0.0,Potential
Small Parcel,16,2-3 Weeks,815,1691,1378165,1125798,0.1831181317186258,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,112,1914,214368,173881,0.1888668084788774,N,0.0,Potential
Small Parcel,17,2-3 Weeks,75,121,9075,6946,0.2346005509641873,Y,0.13,Potential
Large Parcel,2,48 Hours,1212,248,300576,253462,0.15674571489407,Y,0.03,Potential
Large Parcel,23,3-4 Weeks,826,1118,923468,823456,0.1083004500426652,N,0.0,Potential
Large Parcel,1,24 Hours,75,559,41925,39815,0.0503279666070363,N,0.0,Potential
Large Parcel,18,2-3 Weeks,75,2508,188100,152937,0.1869377990430622,N,0.0,Potential
Large Parcel,1,24 Hours,1828,50,91400,85491,0.0646498905908096,Y,0.1,Potential
Small Parcel,16,2-3 Weeks,1242,152,188784,146702,0.2229108399016865,N,0.0,Potential
Large Parcel,3,72 Hours,742,2045,1517390,1265138,0.1662407159662315,Y,0.04,Potential
Small Parcel,23,3-4 Weeks,90,3336,300240,251733,0.1615607513988809,Y,0.01,Potential
Small Parcel,20,2-3 Weeks,1657,1148,1902236,1748379,0.0808821828626942,Y,0.06,Potential
